"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"MAKE IT BETTER" "1stMIX" 1 0 119 119 119 3 7 9 11 NA 0 0
"PARANOiA" "1stMIX" 1 0 180 180 180 4 8 9 11 NA 0 0
"TRIP MACHINE" "1stMIX" 1 0 160 160 160 3 8 9 10 NA 0 0
"AM-3P" "2ndMIX" 1 0 130 130 130 3 7 8 11 NA 0 0
"BRILLIANT 2U" "2ndMIX" 1 1 150 150 150 3 6 6 10 10 0 0
"BRILLIANT 2U(Orchestra Groove)" "2ndMIX" 1 1 150 150 150 4 6 8 9 12 0 0
"e-motion" "2ndMIX" 1 0 140 145 0 2 5 6 8 NA 0 0
"GENOM SCREAMS" "2ndMIX" 1 0 150 150 150 3 6 8 11 NA 0 0
"KEEP ON MOVIN'" "2ndMIX" 1 0 132 132 132 4 5 7 9 NA 0 0
"MAKE IT BETTER (So-REAL Mix)" "2ndMIX" 1 1 118 118 118 2 7 8 10 12 0 0
"PARANOiA KCET ~clean mix~" "2ndMIX" 1 1 179 180 180 4 8 9 11 15 0 0
"PARANOiA MAX~DIRTY MIX~" "2ndMIX" 1 0 190 190 190 5 9 10 12 NA 0 0
"PUT YOUR FAITH IN ME" "2ndMIX" 1 0 120 120 120 3 5 6 9 NA 0 0
"PUT YOUR FAITH IN ME (Jazzy Groove)" "2ndMIX" 1 1 120 120 120 2 6 7 9 11 0 0
"SP-TRIP MACHINE~JUNGLE MIX~" "2ndMIX" 1 0 160 160 160 4 8 9 10 NA 0 0
"AFRONOVA" "3rdMIX" 1 0 200 200 200 5 7 9 13 NA 0 0
"AFTER THE GAME OF LOVE" "3rdMIX" 1 0 105 105 105 1 2 6 8 NA 0 0
"CUTIE CHASER" "3rdMIX" 1 0 126 126 126 3 5 7 10 NA 0 0
"DEAD END" "3rdMIX" 1 0 190 190 190 4 7 10 12 NA 0 0
"DROP THE BOMB" "3rdMIX" 1 0 150 150 150 3 5 7 10 NA 0 0
"DYNAMITE RAVE" "3rdMIX" 1 1 150 150 150 3 6 10 12 12 0 0
"GRADIUSIC CYBER ~AMD G5 MIX~" "3rdMIX" 1 0 160 160 160 3 8 10 13 NA 0 0
"La Senorita" "3rdMIX" 1 0 182 182 182 4 6 8 10 NA 0 0
